;id;full_name;first_name;last_name;is_active
44;200746;LaMarcus Aldridge;LaMarcus;Aldridge;False
45;76021;Chuck Aleksinas;Chuck;Aleksinas;False
46;1626146;Cliff Alexander;Cliff;Alexander;False
47;724;Cory Alexander;Cory;Alexander;False
48;2042;Courtney Alexander;Courtney;Alexander;False
49;76022;Gary Alexander;Gary;Alexander;False
50;201570;Joe Alexander;Joe;Alexander;False
51;1629734;Kyle Alexander;Kyle;Alexander;False
52;1630234;Ty-Shon Alexander;Ty-Shon;Alexander;False
53;2349;Victor Alexander;Victor;Alexander;False
54;1629638;Nickeil Alexander-Walker;Nickeil;Alexander-Walker;True
55;76024;Steve Alford;Steve;Alford;False
56;1628959;Rawle Alkins;Rawle;Alkins;False
57;76028;Bob Allen;Bob;Allen;False
58;1628960;Grayson Allen;Grayson;Allen;True
59;1628386;Jarrett Allen;Jarrett;Allen;True
60;706;Jerome Allen;Jerome;Allen;False
61;1628443;Kadeem Allen;Kadeem;Allen;False
62;202730;Lavoy Allen;Lavoy;Allen;False
63;76027;Lucius Allen;Lucius;Allen;False
64;2124;Malik Allen;Malik;Allen;False
65;76025;Randy Allen;Randy;Allen;False
66;951;Ray Allen;Ray;Allen;False
67;2754;Tony Allen;Tony;Allen;False
