;Rank;Player;Age;Tm;First;Pts Won;Pts Max;Share;G;MP;PTS;TRB;AST;STL;BLK;FG%;3P%;FT%;WS;WS/48;DWS;DBPM;DRtg;
14;15T;Trevor Ariza;28;WAS;0.0;4.0;625;0.006;77;35.4;14.4;6.2;2.5;1.6;0.3;0.456;0.407;0.772;8.0;0.141;3.7;1.0;104;2014
15;15T;Marc Gasol;29;MEM;0.0;4.0;625;0.006;59;33.4;14.6;7.2;3.6;1.0;1.3;0.473;0.182;0.768;5.6;0.137;3.1;2.0;102;2014
16;17;Patrick Beverley;25;HOU;0.0;2.0;625;0.003;56;31.3;10.2;3.5;2.7;1.4;0.4;0.414;0.361;0.814;4.2;0.116;1.6;0.9;108;2014
0;1;Kawhi Leonard;23;SAS;37.0;333.0;645;0.516;64;31.8;16.5;7.2;2.5;2.3;0.8;0.479;0.349;0.802;8.6;0.204;4.4;3.1;96;2015
1;2;Draymond Green;24;GSW;45.0;317.0;645;0.491;79;31.5;11.7;8.2;3.7;1.6;1.3;0.443;0.337;0.66;8.5;0.163;5.2;2.8;97;2015
2;3;DeAndre Jordan;26;LAC;32.0;261.0;645;0.405;82;34.4;11.5;15.0;0.7;1.0;2.2;0.71;0.25;0.397;12.8;0.217;5.4;0.7;98;2015
3;4;Anthony Davis;21;NOP;11.0;107.0;645;0.166;68;36.1;24.4;10.2;2.2;1.5;2.9;0.535;0.083;0.805;14.0;0.274;4.2;2.3;100;2015
4;5;Rudy Gobert;22;UTA;2.0;33.0;645;0.051;82;26.3;8.4;9.5;1.3;0.8;2.3;0.604;0.0;0.623;9.3;0.206;4.3;2.5;98;2015
5;6;Andrew Bogut;30;GSW;0.0;31.0;645;0.048;67;23.6;6.3;8.1;2.7;0.6;1.7;0.563;;0.524;5.2;0.159;3.4;3.3;97;2015
6;7;Tony Allen;33;MEM;1.0;29.0;645;0.045;63;26.2;8.6;4.4;1.4;2.0;0.5;0.495;0.345;0.627;4.1;0.119;3.2;3.1;98;2015
7;8;Tim Duncan;38;SAS;1.0;12.0;645;0.019;77;28.9;13.9;9.1;3.0;0.8;2.0;0.512;0.286;0.74;9.6;0.207;4.7;2.8;97;2015
8;9;Michael Kidd-Gilchrist;21;CHO;0.0;9.0;645;0.014;55;28.9;10.9;7.6;1.4;0.5;0.7;0.465;;0.701;3.8;0.114;2.2;0.6;103;2015
9;10T;Jimmy Butler;25;CHI;0.0;7.0;645;0.011;65;38.7;20.0;5.8;3.3;1.8;0.6;0.462;0.378;0.834;11.2;0.214;3.0;1.2;104;2015
10;10T;Marc Gasol;30;MEM;0.0;7.0;645;0.011;81;33.2;17.4;7.8;3.8;0.9;1.6;0.494;0.176;0.795;10.2;0.182;4.7;2.4;100;2015
