;Rank;Player;Age;Tm;First;Pts Won;Pts Max;Share;G;MP;PTS;TRB;AST;STL;BLK;FG%;3P%;FT%;WS;WS/48;
8;9;Chandler Parsons;23;HOU;0.0;14.0;600;0.023;63;28.6;9.5;4.8;2.1;1.2;0.5;0.452;0.337;0.551;3.4;0.09;2012
9;10;MarShon Brooks;23;NJN;0.0;4.0;600;0.007;56;29.4;12.6;3.6;2.3;0.9;0.3;0.428;0.313;0.764;0.8;0.022;2012
10;11;Kemba Walker;21;CHA;0.0;3.0;600;0.005;66;27.2;12.1;3.5;4.4;0.9;0.3;0.366;0.305;0.789;0.3;0.009;2012
11;12;Josh Selby;20;MEM;0.0;1.0;600;0.002;28;8.5;2.3;0.5;1.1;0.3;0.0;0.347;0.133;0.786;-0.5;-0.105;2012
0;1;Damian Lillard;22;POR;121.0;605.0;605;1.0;82;38.6;19.0;3.1;6.5;0.9;0.2;0.429;0.368;0.844;5.8;0.088;2013
1;2;Anthony Davis;19;NOH;0.0;306.0;605;0.506;64;28.8;13.5;8.2;1.0;1.2;1.8;0.516;0.0;0.751;6.1;0.159;2013
2;3;Bradley Beal;19;WAS;0.0;94.0;605;0.155;56;31.2;13.9;3.8;2.4;0.9;0.5;0.41;0.386;0.786;3.0;0.082;2013
3;4;Andre Drummond;19;DET;0.0;36.0;605;0.06;60;20.7;7.9;7.6;0.5;1.0;1.6;0.608;0.5;0.371;4.5;0.172;2013
4;5;Dion Waiters;21;CLE;0.0;21.0;605;0.035;61;28.8;14.7;2.4;3.0;1.0;0.3;0.412;0.31;0.746;0.9;0.026;2013
5;6T;Harrison Barnes;20;GSW;0.0;8.0;605;0.013;81;25.4;9.2;4.1;1.2;0.6;0.2;0.439;0.359;0.758;2.8;0.065;2013
6;6T;Chris Copeland;28;NYK;0.0;8.0;605;0.013;56;15.4;8.7;2.1;0.5;0.3;0.2;0.479;0.421;0.759;2.1;0.117;2013
7;8;Michael Kidd-Gilchrist;19;CHA;0.0;3.0;605;0.005;78;26.0;9.0;5.8;1.5;0.7;0.9;0.458;0.222;0.749;2.1;0.051;2013
8;9;Jonas Valančiūnas;20;TOR;0.0;2.0;605;0.003;62;23.9;8.9;6.0;0.7;0.3;1.3;0.557;;0.789;3.9;0.127;2013
9;10;John Jenkins;21;ATL;0.0;1.0;605;0.002;61;14.8;6.1;1.5;0.9;0.2;0.2;0.446;0.384;0.843;1.7;0.091;2013
0;1;Michael Carter-Williams;22;PHI;104.0;569.0;620;0.918;70;34.5;16.7;6.2;6.3;1.9;0.6;0.405;0.264;0.703;1.3;0.026;2014
1;2;Victor Oladipo;21;ORL;16.0;364.0;620;0.587;80;31.1;13.8;4.1;4.1;1.6;0.5;0.419;0.327;0.78;1.3;0.026;2014
2;3;Trey Burke;21;UTA;1.0;96.0;620;0.155;70;32.3;12.8;3.0;5.7;0.6;0.1;0.38;0.33;0.903;0.9;0.02;2014
